GaiaDR3,n_refs,refs,has_rv,classes
463983702081221248,2,"Kos2024, Risbud2025",True,T
464051395067677696,2,"Kos2024, Risbud2025",True,T
464065894876674048,1,Risbud2025,True,T
464107298360892160,1,Risbud2025,False,T
464145025353796480,2,"Kos2024, Risbud2025",True,T
464148495687344384,1,Kos2024,True,L
464158563090878464,1,Risbud2025,True,T
464168630494064128,1,Risbud2025,True,T
464196083925282176,1,Risbud2025,True,T
464196083925282944,2,"Kos2024, Risbud2025",True,T
464204502061121152,1,Risbud2025,False,T
464216734127968640,1,Risbud2025,True,T
464221883785589376,2,"Kos2024, Risbud2025",True,T
464224671226832512,1,Risbud2025,True,T
464241163903378944,2,"Kos2024, Risbud2025",True,T
464259924318644608,1,Risbud2025,True,T
464275729797833088,1,Risbud2025,True,T
464323386755289600,1,Risbud2025,False,T
464420281216715520,1,Risbud2025,False,T
464452609428786560,1,Risbud2025,False,T
464481201034620032,1,Risbud2025,False,T
464523566592867456,1,Risbud2025,True,T
464546205356667008,1,Risbud2025,True,T
464563007271237760,1,Kos2024,False,T
464563286450993792,1,Risbud2025,True,T
464636300894435712,1,Risbud2025,False,T
464653510820038656,1,Risbud2025,True,T
464716874477859200,1,Risbud2025,False,T
464716943197334784,1,Risbud2025,False,T
464930798210531072,1,Kos2024,False,T
465011784113142912,2,"Kos2024, Risbud2025",False,T
465022057674476288,1,Kos2024,False,T
465027864470219392,2,"Kos2024, Risbud2025",True,T
465040886811367040,2,"Kos2024, Risbud2025",False,T
465049476746021248,1,Risbud2025,True,T
465055695858551936,1,Risbud2025,False,T
465082771332006912,1,Risbud2025,False,T
465106685709862784,1,Risbud2025,False,T
465113866895445376,1,Risbud2025,True,T
465137605174350336,2,"Kos2024, Risbud2025",True,T
465147230200889984,1,Kos2024,True,T
465147913095854976,2,"Kos2024, Risbud2025",True,L
465195539993629312,1,Risbud2025,True,T
465217766444508288,1,Risbud2025,False,T
465289582596117888,2,"Kos2024, Risbud2025",True,T
465291953418083328,1,Kos2024,False,L
465297858992556416,1,Risbud2025,True,T
465302708016181504,1,Kos2024,False,T
465349231103137920,2,"Kos2024, Risbud2025",True,T
465360363658310016,2,"Kos2024, Risbud2025",True,T
465372630084786560,1,Risbud2025,True,T
465383552181000064,1,Risbud2025,True,T
465419320670633216,1,Risbud2025,True,T
465431969353815424,1,Risbud2025,False,T
465454956019758208,1,Risbud2025,False,L
505300325403867264,1,Risbud2025,False,T
505398289314030592,1,Risbud2025,True,T
505398319370030848,1,Risbud2025,True,T
505417908724288896,1,Risbud2025,True,T
505427220214529152,1,Risbud2025,True,T
505433439327292928,1,Risbud2025,True,T
505438215330643712,1,Risbud2025,True,T
505438249690378112,2,"Kos2024, Risbud2025",False,L
505942719367227776,1,Risbud2025,True,T
505959280759640704,1,Risbud2025,False,L
505971684625089536,1,Risbud2025,True,T
505990926079570048,1,Risbud2025,False,L
506139635027659392,1,Risbud2025,True,T
506150423985567872,1,Risbud2025,False,T
506197561245752576,1,Kos2024,False,L
506212030998185344,1,Risbud2025,True,T
506307447991476224,2,"Kos2024, Risbud2025",False,L
506333320876414464,1,Risbud2025,True,L
506410389765023488,1,Risbud2025,True,T
506414134976534784,1,Risbud2025,True,T
